#,Product Handle,Product Title,Product Description,Product Weight,Product Length,Product Width,Product Height,CAD,USD,Status,Images,ID
1,air-purifier,Air Purifier,Quiet HEPA filtration removes dust and allergens for healthier indoor air.,2700,22,22,35,159,146,pending,,prod_01K8W064XY6642XQKKF20ESTRN
2,automatic-pet-feeder,Automatic Pet Feeder,Timed feeding with app control and portion settingsâ€”peace of mind for pet owners.,2200,20,20,32,149,137,pending,,prod_01K8W064XYW7EXGT5DFC190M4B
3,diy-gel-nail-kit-lamp,DIY Gel Nail Kit (Lamp),"UV lamp, gels, and tools for longâ€‘lasting manicures without the salon visit.",1500,26,22,9,129,119,pending,,prod_01K8W064XYATTAJY28DVHM06J2
4,electric-heated-lunch-box,Electric Heated Lunch Box,"12V/110V heating for meals at desk, car, or job site. Leakâ€‘resistant design.",1200,24,17,12,109,100,pending,,prod_01K8W064XYH7NDY4T5VCTV0NG5
5,essential-oil-diffuser-humidifier,Essential Oil Diffuser & Humidifier,Ultrasonic aroma diffuser adds moisture with ambient lighting for relaxation.,700,17,17,20,89,82,pending,,prod_01K8W064XZDPX75E31RCV9BAAB
6,hair-straightener-brush,Hair Straightener Brush,Ionic heated brush smooths hair quickly with less damage than flat irons.,520,28,6,5,129,119,pending,,prod_01K8W064XY05GEZ6GGT5X5ASZK
7,heated-vest-usb,Heated Vest (USB),Lightweight vest with carbon fiber heating elementsâ€”powered by USB power bank.,700,35,28,5,169,155,pending,,prod_01K8W064XZ1QSPS8Y2FCFPN0RA
8,led-light-therapy-facial-mask,LED Light Therapy Facial Mask,Atâ€‘home LED therapy to improve skin tone and appearanceâ€”spa results at home.,700,21,17,11,199,183,pending,,prod_01K8W064XYRKS2CDE7CJB1PWH7
9,percussion-massage-gun,Percussion Massage Gun,Powerful quiet motor with multiple heads for postâ€‘workout or desk tension relief.,1200,25,20,10,229,211,pending,,prod_01K8W064XYHP34NB35S1BGY95X
10,portable-blender-usb,Portable Blender (USB),"Rechargeable blender bottle for fresh shakes at work, gym, or travel.",650,8,8,24,99,91,pending,,prod_01K8W064XYRCYB06MGJ8VJ3X58
11,portable-mini-projector,Portable Mini Projector,Palm-sized projector for movies/presentations. 1080p support with HDMI/USB.,600,14,10,6,249,229,pending,,prod_01K8VWV21PMMKRCFKR5G6DQNQ0
12,rgb-mechanical-keyboard,RGB Mechanical Keyboard,Hot-swappable mechanical keyboard with RGB backlight for gamers and coders.,900,45,15,4,139,128,pending,,prod_01K8W064XY30JJ3Q0DDR8THW7B
13,robot-vacuum-cleaner,Robot Vacuum Cleaner,Selfâ€‘charging robot vacuum with mapping and mop attachment for hard floors.,3800,35,35,9,349,321,pending,,prod_01K8W064XYGJZFVFVD6J3GTDC3
14,smartwatch-budget-friendly,Smartwatch (Budget-Friendly),"Feature-packed smartwatch with heart-rate, sleep, and notifications. Great battery life for daily use.",180,10,10,5,149,137,pending,,prod_01K8W064XYKNHD79C16Q47QB2A
15,standing-desk-converter,Standing Desk Converter,Desktop riser converts any desk to standingâ€”improve posture and focus.,12000,80,40,15,279,257,pending,,prod_01K8W064XZ1MJ6K0GS6WWNHYTH
16,tech-friendly-laptop-backpack,Techâ€‘Friendly Laptop Backpack,"Waterâ€‘resistant backpack with laptop sleeve, USB port, and antiâ€‘theft pockets.",900,46,30,15,129,119,pending,,prod_01K8W064XZBWW4VJSZCQH3W53Z
17,water-flosser-oral-irrigator,Water Flosser (Oral Irrigator),Cordless jet flosser with multiple pressure modes and travel case.,400,7,7,28,119,109,pending,,prod_01K8W064XYPMJMK6X9V38D9K87
18,weighted-blanket-15-20-lb,Weighted Blanket (15/20 lb),Breathable weighted blanket for better sleep and stress relief.,8000,40,30,25,199,183,pending,,prod_01K8W064XZG6F5JRWPZJW5EDRG
19,wi-fi-home-security-camera,Wiâ€‘Fi Home Security Camera,Indoor smart camera with motion alerts and twoâ€‘way audio via mobile app.,200,7,7,11,99,91,pending,,prod_01K8W064XY5QK4C8TY2RWZAHS6
20,wireless-earbuds-noise-cancelling,Wireless Earbuds (Noise-Cancelling),Bluetooth earbuds with noise reduction and long battery for commutes and workouts.,60,7,5,4,119,109,pending,,prod_01K8W064XY6HG1PMB3JJ0PYKW5
21,,Wireless Handheld Vacuum,,,,,,,,,,
22,,Smartwatch Pro Series,,,,,,,,,,
23,,Electric Heated Blanket,,,,,,,,,,
24,,Adjustable Standing Desk,,,,,,,,,,
25,,Neck & Back Massager,,,,,,,,,,
26,,LED Vanity Mirror,,,,,,,,,,
27,,Fitness Smart Scale,,,,,,,,,,
28,,Cordless Hair Curler,,,,,,,,,,
29,,Portable Blender Bottle,,,,,,,,,,
30,,Car Wireless Charger Mount,,,,,,,,,,
31,,Ultrasonic Humidifier,,,,,,,,,,
32,,Smart LED Light Strips,,,,,,,,,,
33,,Air Fryer XL,,,,,,,,,,
34,,Pet Hair Remover Roller,,,,,,,,,,
35,,Foldable Laptop Stand,,,,,,,,,,
36,,Smart Doorbell Camera,,,,,,,,,,
37,,Electric Toothbrush Kit,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
