Product Handle,Product Title,Product Subtitle,Product Description,Product Weight,Product Length,Product Width,Product Height,CAD,USD,Product Image
smartwatch-budget-friendly,Smartwatch (Budget-Friendly),Fitness tracking & calls,"Feature-packed smartwatch with heart-rate, sleep, and notifications. Great battery life for daily use.",180,10,10,5,137,149,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/cozy_folded_electric_heated_blanket_in_beige_color.png
wireless-earbuds-noise-cancelling,Wireless Earbuds (Noise-Cancelling),"Clear calls, deep bass",Bluetooth earbuds with noise reduction and long battery for commutes and workouts.,60,7,5,4,109,119,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/full_product_photo_of_a_modern_height-adjustable_standing.png
portable-mini-projector,Portable Mini Projector,Cinema anywhere,Palm-sized projector for movies/presentations. 1080p support with HDMI/USB.,600,14,10,6,229,249,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/high-quality_photo_of_a_glossy_black_digital_air.png
rgb-mechanical-keyboard,RGB Mechanical Keyboard,Tactile & customizable,Hot-swappable mechanical keyboard with RGB backlight for gamers and coders.,900,45,15,4,128,139,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/high-resolution_product_photo_of_a_modern_cordless_handheld.png
wi-fi-home-security-camera,Wi‑Fi Home Security Camera,1080p night vision,Indoor smart camera with motion alerts and two‑way audio via mobile app.,200,7,7,11,91,99,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/minimal_close-up_of_matte-white_wireless_earbuds_inside_open.png
robot-vacuum-cleaner,Robot Vacuum Cleaner,Auto clean + mop,Self‑charging robot vacuum with mapping and mop attachment for hard floors.,3800,35,35,9,321,349,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/modern_car_wireless_phone_charger_mount_clipped_to.png
air-purifier,Air Purifier,HEPA fresh air,Quiet HEPA filtration removes dust and allergens for healthier indoor air.,2700,22,22,35,146,159,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_close-up_of_a_luxury_smartwatch_displaying_health.png
automatic-pet-feeder,Automatic Pet Feeder,Wi‑Fi scheduled feeding,Timed feeding with app control and portion settings—peace of mind for pet owners.,2200,20,20,32,137,149,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_close-up_of_a_rose-gold_automatic_cordless_hair.png
portable-blender-usb,Portable Blender (USB),Smoothies on the go,"Rechargeable blender bottle for fresh shakes at work, gym, or travel.",650,8,8,24,91,99,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_close-up_of_rgb_led_light_strips_illuminating.png
electric-heated-lunch-box,Electric Heated Lunch Box,Hot meals anywhere,"12V/110V heating for meals at desk, car, or job site. Leak‑resistant design.",1200,24,17,12,100,109,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_image_of_an_ergonomic_neck_and_shoulder.png
